Round, Player 1, Player 2, Player 3
Round 7, 318, 245, 231
Round 8, 318, 376, 231
Round 9, 386, 376, 231
Round 10, 534, 376, 231
Winner, Can
Round, Player 1, Player 2, Player 3
Round 1, 18, 0, 0
Round 2, 18, 0, 124
Round 3, 18, 82, 124
Round 4, 160, 82, 124
Round 5, 160, 82, 216
Round 6, 360, 82, 216
Round 7, 450, 82, 216
Round 8, 450, 144, 216
Round 9, 450, 144, 352
Round 10, 450, 144, 375
Round 11, 450, 223, 375
Round 12, 537, 223, 375
Winner, Can
Round, Player 1, Player 2, Player 3
Round 1, 49, 0, 0
Round 2, 172, 0, 0
Round 3, 172, 0, 104
Round 4, 172, 0, 238
Round 5, 172, 87, 238
Round 6, 206, 87, 238
Round 7, 206, 87, 333
Round 8, 206, 87, 468
Round 9, 206, 87, 560
Winner, Alp
Round, Player 1, Player 2, Player 3
Round 1, 0, 0, 154
Round 2, 0, 0, 312
Round 3, 118, 0, 312
Round 4, 212, 0, 312
Round 5, 212, 0, 519
Winner, Alp
Round, Player 1, Player 2, Player 3
Round 1, 0, 0, 180
Round 2, 68, 0, 180
Round 3, 68, 0, 296
Round 4, 148, 0, 296
Round 5, 247, 0, 296
Round 6, 247, 0, 398
Round 7, 247, 0, 490
Round 8, 300, 0, 490
Round 9, 300, 100, 490
Round 10, 300, 100, 750
Winner, Alp
Round, Player 1, Player 2, Player 3
Round 1, 0, 0, 88
Round 2, 138, 0, 88
Round 3, 249, 0, 88
Round 4, 330, 0, 88
Round 5, 330, 0, 179
Round 6, 330, 179, 179
Round 7, 378, 179, 179
Round 8, 378, 179, 259
Round 9, 378, 209, 259
Round 10, 378, 399, 259
Round 11, 378, 513, 259
Winner, Yusuf
Round, Player 1, Player 2, Player 3
Round 1, 0, 0, 48
Round 2, 0, 102, 48
Round 3, 117, 102, 48
Round 4, 117, 260, 48
Round 5, 309, 260, 48
Round 6, 309, 260, 217
Round 7, 408, 260, 217
Round 8, 551, 260, 217
Winner, Can
Round, Player 1, Player 2, Player 3
Round 1, 0, 74, 0
Round 2, 137, 74, 0
Round 3, 137, 74, 266
Round 4, 137, 74, 320
Round 5, 137, 201, 320
Round 6, 137, 305, 320
Round 7, 137, 420, 320
Round 8, 137, 420, 458
Round 9, 137, 530, 458
Winner, Yusuf
Round, Player 1, Player 2, Player 3
Round 1, 0, 88, 0
Round 2, 0, 157, 0
Round 3, 175, 157, 0
Round 4, 322, 157, 0
Round 5, 421, 157, 0
Round 6, 421, 244, 0
Round 7, 421, 316, 0
Round 8, 453, 316, 0
Round 9, 561, 316, 0
Winner, Can
Round, Player 1, Player 2, Player 3
Round 1, 0, 0, 76
Round 2, 0, 0, 253
Round 3, 178, 0, 253
Round 4, 178, 0, 374
Round 5, 325, 0, 374
Round 6, 325, 0, 450
Round 7, 325, 0, 555
Winner, Alp
Round, Player 1, Player 2, Player 3
Round 1, 0, 98, 0
Round 2, 0, 98, 211
Round 3, 0, 141, 211
Round 4, 0, 283, 211
Round 5, 0, 400, 211
Round 6, 0, 515, 211
Winner, Yusuf
Round, Player 1, Player 2, Player 3
Round 1, 0, 51, 0
Round 2, 91, 51, 0
Round 3, 91, 51, 216
Round 4, 91, 131, 216
Round 5, 236, 131, 216
Round 6, 285, 131, 216
Round 7, 313, 131, 216
Round 8, 426, 131, 216
Round 9, 426, 215, 216
Round 10, 426, 279, 216
Round 11, 426, 279, 422
Round 12, 426, 356, 422
Round 13, 509, 356, 422
Winner, Can
Round, Player 1, Player 2, Player 3
Round 1, 90, 0, 0
Round 2, 90, 54, 0
Round 3, 90, 54, 41
Round 4, 90, 54, 122
Round 5, 90, 136, 122
Round 6, 141, 136, 122
Round 7, 141, 229, 122
Round 8, 206, 229, 122
Round 9, 206, 387, 122
Round 10, 206, 387, 284
Round 11, 206, 470, 284
Round 12, 284, 470, 284
Round 13, 284, 594, 284
Winner, Yusuf
Round, Player 1, Player 2, Player 3
Round 1, 0, 0, 68
Round 2, 0, 70, 68
Round 3, 0, 70, 161
Round 4, 0, 215, 161
Round 5, 0, 215, 271
Round 6, 54, 215, 271
Round 7, 54, 215, 481
Round 8, 54, 361, 481
Round 9, 184, 361, 481
Round 10, 184, 361, 535
Winner, Alp
Round, Player 1, Player 2, Player 3
Round 1, 0, 0, 120
Round 2, 142, 0, 120
Round 3, 142, 63, 120
Round 4, 142, 63, 239
Round 5, 142, 63, 389
Round 6, 278, 63, 389
Round 7, 278, 148, 389
Round 8, 476, 148, 389
Round 9, 519, 148, 389
Winner, Can
Round, Player 1, Player 2, Player 3
Round 1, 47, 0, 0
Round 2, 47, 0, 62
Round 3, 47, 0, 83
Round 4, 47, 0, 193
Round 5, 47, 41, 193
Round 6, 47, 82, 193
Round 7, 47, 150, 193
Round 8, 47, 150, 354
Round 9, 102, 150, 354
Round 10, 102, 150, 396
Round 11, 102, 330, 396
Round 12, 188, 330, 396
Round 13, 188, 421, 396
Round 14, 291, 421, 396
Round 15, 291, 476, 396
Round 16, 291, 476, 482
Round 17, 353, 476, 482
Round 18, 353, 476, 592
Winner, Alp
Round, Player 1, Player 2, Player 3
Round 1, 0, 0, 58
Round 2, 165, 0, 58
Round 3, 198, 0, 58
Round 4, 352, 0, 58
Round 5, 452, 0, 58
Round 6, 452, 0, 132
Round 7, 452, 184, 132
Round 8, 452, 323, 132
Round 9, 452, 414, 132
Round 10, 452, 506, 132
Winner, Yusuf
Round, Player 1, Player 2, Player 3
Round 1, 226, 0, 0
Round 2, 383, 0, 0
Round 3, 383, 0, 58
Round 4, 383, 0, 123
Round 5, 477, 0, 123
Round 6, 477, 137, 123
Round 7, 477, 137, 229
Round 8, 477, 239, 229
Round 9, 477, 410, 229
Round 10, 611, 410, 229
Winner, Can
